CUDA extension for structured kernels (Cauchy and Vandermonde multiplication) not found. Install by going to extensions/kernels/ and running `python setup.py install`, for improved speed and memory efficiency. Note that the kernel changed for state-spaces 4.0 and must be recompiled.
Falling back on slow Cauchy and Vandermonde kernel. Install at least one of pykeops or the CUDA extension for better speed and memory efficiency.
==> Preparing mnist data..
==> Building model..
Optimizer group 0 | 28 tensors | lr 0.01 | weight_decay 0.0
Optimizer group 1 | 12 tensors | lr 0.001 | weight_decay 0.0
  0%|          | 0/100 [00:00<?, ?it/s]Epoch: 0:   0%|          | 0/100 [00:00<?, ?it/s]
0it [00:00, ?it/s][A
Batch Idx: (25/844) | Loss: 2.626 | Acc: 9.736% (162/1664): : 26it [02:12,  4.87s/it][A
Batch Idx: (26/844) | Loss: 2.615 | Acc: 9.722% (168/1728): : 26it [02:16,  4.87s/it][A
Batch Idx: (26/844) | Loss: 2.615 | Acc: 9.722% (168/1728): : 27it [02:16,  4.86s/it][A
Batch Idx: (27/844) | Loss: 2.604 | Acc: 9.877% (177/1792): : 27it [02:21,  4.86s/it][A
Batch Idx: (27/844) | Loss: 2.604 | Acc: 9.877% (177/1792): : 28it [02:21,  4.89s/it][A
Batch Idx: (28/844) | Loss: 2.596 | Acc: 9.914% (184/1856): : 28it [02:26,  4.89s/it][A
Batch Idx: (28/844) | Loss: 2.596 | Acc: 9.914% (184/1856): : 29it [02:26,  4.89s/it][A
Batch Idx: (29/844) | Loss: 2.586 | Acc: 10.052% (193/1920): : 29it [02:31,  4.89s/it][A
Batch Idx: (29/844) | Loss: 2.586 | Acc: 10.052% (193/1920): : 30it [02:31,  4.90s/it][A
Batch Idx: (30/844) | Loss: 2.579 | Acc: 10.131% (201/1984): : 30it [02:36,  4.90s/it][A
Batch Idx: (30/844) | Loss: 2.579 | Acc: 10.131% (201/1984): : 31it [02:36,  4.87s/it][A
Batch Idx: (31/844) | Loss: 2.570 | Acc: 10.303% (211/2048): : 31it [02:41,  4.87s/it][A
Batch Idx: (31/844) | Loss: 2.570 | Acc: 10.303% (211/2048): : 32it [02:41,  4.88s/it][A
Batch Idx: (32/844) | Loss: 2.564 | Acc: 10.322% (218/2112): : 32it [02:46,  4.88s/it][A
Batch Idx: (32/844) | Loss: 2.564 | Acc: 10.322% (218/2112): : 33it [02:46,  4.92s/it][A
Batch Idx: (33/844) | Loss: 2.557 | Acc: 10.294% (224/2176): : 33it [02:51,  4.92s/it][A
Batch Idx: (33/844) | Loss: 2.557 | Acc: 10.294% (224/2176): : 34it [02:51,  4.94s/it][A
Batch Idx: (34/844) | Loss: 2.552 | Acc: 10.402% (233/2240): : 34it [02:56,  4.94s/it][A
Batch Idx: (34/844) | Loss: 2.552 | Acc: 10.402% (233/2240): : 35it [02:56,  4.90s/it][A
Batch Idx: (35/844) | Loss: 2.548 | Acc: 10.373% (239/2304): : 35it [03:01,  4.90s/it][A
Batch Idx: (35/844) | Loss: 2.548 | Acc: 10.373% (239/2304): : 36it [03:01,  4.87s/it][A
Batch Idx: (36/844) | Loss: 2.545 | Acc: 10.304% (244/2368): : 36it [03:05,  4.87s/it][A
Batch Idx: (36/844) | Loss: 2.545 | Acc: 10.304% (244/2368): : 37it [03:05,  4.85s/it][A
Batch Idx: (37/844) | Loss: 2.543 | Acc: 10.238% (249/2432): : 37it [03:11,  4.85s/it][A
Batch Idx: (37/844) | Loss: 2.543 | Acc: 10.238% (249/2432): : 38it [03:11,  4.99s/it][A
Batch Idx: (38/844) | Loss: 2.537 | Acc: 10.256% (256/2496): : 38it [03:15,  4.99s/it][A
Batch Idx: (38/844) | Loss: 2.537 | Acc: 10.256% (256/2496): : 39it [03:15,  4.94s/it][A
Batch Idx: (39/844) | Loss: 2.532 | Acc: 10.312% (264/2560): : 39it [03:21,  4.94s/it][A
Batch Idx: (39/844) | Loss: 2.532 | Acc: 10.312% (264/2560): : 40it [03:21,  5.00s/it][A
Batch Idx: (40/844) | Loss: 2.527 | Acc: 10.480% (275/2624): : 40it [03:26,  5.00s/it][A
Batch Idx: (40/844) | Loss: 2.527 | Acc: 10.480% (275/2624): : 41it [03:26,  5.08s/it][A
Batch Idx: (41/844) | Loss: 2.524 | Acc: 10.454% (281/2688): : 41it [03:31,  5.08s/it][A
